"log_N","log_k0","log_cooling_rate","log_c_repulsion","Holdout_MAE","NLL"
1.907393383,2.621418845,-2.356155229,-3.295882423,0.59012697,1696.136595
1.791228018,2.223856724,-4.083676573,-2.686006229,0.58314765,1692.672006
1.13360065,2.323679213,-3.592598056,-3.447178842,0.65832957,1869.293044
1.790037931,2.500092441,-4.06950779,-2.931493495,0.615950551,1763.286979
1.63108463,2.672364504,-3.053103287,-3.378852022,0.585917619,1678.769523
2.255507943,2.628633131,-3.467945987,-3.567374669,0.570584132,1648.268484
2.440151822,2.678736159,-3.224487319,-3.690647043,0.561615441,1619.619619
1.745149247,2.511145106,-3.849498499,-2.906579364,0.579729448,1678.30791
1.513009277,2.622440534,-3.230436773,-3.332466626,0.602004162,1716.830264
2.457020486,2.126223365,-2.9108642,-2.893647033,0.569236969,1642.56739
1.654846629,1.526419357,-2.952334886,-3.221346632,0.661358534,1856.827297
1.790650573,2.703084729,-2.617473796,-2.830461015,0.594079639,1709.366903
2.20018254,2.378530616,-3.796162465,-3.374634696,0.560494759,1623.406584
2.472872735,2.67754357,-4.446897701,-3.473497677,0.561538904,1637.27903
1.578381753,2.695825952,-3.240720792,-3.159321903,0.600236133,1730.312096
2.061015778,2.191537111,-4.036296771,-3.779075127,0.563697177,1633.947361
1.796504384,2.094690955,-3.113428278,-2.824527185,0.578170328,1668.64442
1.8001083,2.334844756,-3.623386925,-3.742090697,0.612725717,1753.221642
2.071450339,2.388654497,-3.350689305,-3.250463432,0.561623039,1636.382592
2.126028905,1.591698638,-3.552204027,-3.338126098,0.585051756,1702.082651
2.069420141,2.023013923,-3.298094624,-3.069615144,0.579747643,1680.649766
1.141147136,2.391440588,-2.584815497,-3.142952176,0.686294723,1934.230922
2.183001659,2.186468542,-4.87270839,-3.360794194,0.564850973,1607.759844
1.823439743,2.629091854,-4.699730302,-2.872776859,0.607794335,1740.25264
1.632210576,2.359639833,-3.293290826,-2.740468086,0.589064103,1701.661146
2.085990147,2.846949837,-2.76992976,-2.694724626,0.58597954,1669.653235
1.490412764,2.255275974,-2.873546549,-3.356971594,0.616984301,1756.051684
2.035782386,2.249656766,-3.680069203,-3.177123544,0.578397465,1665.779737
1.254221379,2.262334862,-2.850360659,-3.311359266,0.603356111,1734.333254
