log_N,log_k0,log_cooling_rate,log_c_repulsion,Holdout_MAE,NLL
2.079441542,1.239498761,-2.309869151,-2.855550607,0.795053168,2134.2217
2.197224577,2.651724936,-2.524356791,-2.820355812,0.580209934,1674.924003
0.693147181,1.975166214,-3.831447445,-2.810371685,0.814223803,2168.960417
2.302585093,2.670802262,-4.102741562,-2.78204288,0.566043868,1638.884556
2.397895273,1.607178461,-2.841251436,-2.777773531,0.596573068,1715.473513
1.609437912,2.386615436,-2.983258996,-2.746839719,0.584638855,1686.011103
1.945910149,2.84093031,-3.530855514,-2.736392014,0.581264486,1677.571563
2.48490665,1.07185281,-2.356381164,-2.720525087,0.806119641,2154.375896
1.609437912,2.053186217,-2.584290163,-2.707061805,0.63180151,1799.124148
1.791759469,0.264368495,-2.627668124,-2.688018752,0.968753724,2422.324592
0.693147181,2.736076183,-3.29515744,-2.671136525,0.753210228,2055.395492
1.910004261,2.781608699,-3.9162626,-2.707812709,0.571390964,1650.32588
1.494277769,2.639236044,-3.281393237,-3.155302408,0.586804402,1685.601251
1.734185355,2.792524963,-2.765303582,-2.875916059,0.590545437,1698.334428
2.106370429,2.434850836,-3.596999142,-3.277516002,0.553479148,1599.546402
2.334218618,2.682161972,-2.360633583,-3.033960586,0.581812694,1666.279054
1.770692146,2.335676892,-3.402878576,-3.277157756,0.585021144,1691.592322
0.99425926,1.818832816,-3.988800942,-3.382175584,0.609053162,1745.659695
2.006338266,2.255151424,-4.587060681,-3.10720833,0.551403408,1595.188518
1.40515245,2.157638832,-2.461542586,-3.78181897,0.612565398,1758.855606
1.885649936,1.830693181,-2.654671084,-3.228341574,0.625178859,1777.643332
1.260329454,2.802881598,-3.949019143,-3.042098621,0.589573521,1684.288264
1.984611174,2.727154819,-3.665323706,-2.994822226,0.595848167,1724.279206
1.507017861,2.048863092,-3.424243817,-3.559697978,0.595271312,1709.93978
1.814206802,2.731489765,-4.305982634,-3.016839397,0.598010995,1718.983518
2.223528617,2.412947868,-3.418296883,-3.387871078,0.558625078,1622.981725
2.16582982,2.655355571,-3.293154625,-3.496837894,0.580992563,1669.988553
1.229789868,2.790409318,-4.342425759,-3.669932883,0.645846868,1836.205232
2.249374579,2.024921774,-2.942086874,-3.453828363,0.564992649,1624.952293
2.192599888,2.619034417,-2.931129033,-3.504717383,0.580202583,1681.798146
2.196008675,2.717393072,-3.07937936,-3.48934327,0.580119621,1675.845665
1.987960169,2.582683007,-3.949844525,-2.810907754,0.588944188,1683.907649
1.954910259,1.973376975,-3.815020329,-3.409723677,0.589148868,1706.527793
1.915398304,2.597953596,-3.856177057,-3.199545749,0.568974174,1645.283661
