"Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion"
1.41603528431887,446.802945358771,1.38629436111989,3.43623282149996,-3.87991050761171,-3.46655304385077
1.41983209008316,450.991185417745,2.30258509299405,3.34482722029376,-4.71642985938232,-3.44763353609065
1.4181996448419,449.28698707971,1.6094379124341,3.50076591937564,-3.32087229521715,-3.43795282336811
1.41376232614277,450.318207094644,2.19722457733622,1.03628458710365,-5.51365676269643,-3.4236500878232
1.41724411525179,450.769658168182,2.07944154167984,3.5092674790536,-4.31354641418585,-3.39377691144693
1.42139950528751,450.639079001372,1.79175946922805,3.66544677319222,-3.12407578725184,-3.38563680582885
1.43743789308945,459.707562537234,1.79175946922805,1.24181543862341,-3.08609381129361,-3.35453559533304
1.42740751619012,452.083751349093,2.30258509299405,3.66095646349964,-3.18792026549124,-3.33784334232557
1.4256682650293,449.447616482043,1.38629436111989,2.92701206556589,-3.17078124337452,-3.33273280867504
1.38894557326187,448.27657888973,1.09861228866811,3.59475069521185,-3.60037917729389,-3.31106394075564
1.41995119883713,449.899625730837,1.38629436111989,2.90748452165789,-3.85786080153059,-3.29353742676292
1.3879428207286,442.931959776744,0.693147180559945,3.40495452797699,-3.07037636359586,-3.26766401074986
1.42865328557922,452.904911955613,2.07944154167984,2.402910349313,-3.17349859012375,-3.25773363855481
1.48846679961169,464.084994422896,1.79175946922805,0.752323277537673,-3.64666495559555,-3.23840339774057
1.65094874427652,488.943849272536,2.19722457733622,0.00950022763861535,-3.40588385155349,-3.22281726085237
1.44624943799951,450.988651319393,0.693147180559945,2.06354655802232,-4.80957778829299,-3.20539735690777
1.40650700445791,450.988082614066,1.09861228866811,2.29138913246818,-3.26937770367727,-3.18817087323599
1.43127093739067,452.554541357915,2.30258509299405,2.73858824953098,-3.91047950763616,-3.18731213137148
1.43183830347457,452.345952086996,2.07944154167984,3.0626628819588,-4.43089568427264,-3.16161425082697
1.48561374253035,466.599718561303,1.94591014905531,1.10780131983579,-3.24245839124753,-3.15622027762324
1.43117180817294,453.050640840003,1.94591014905531,3.60176656833628,-4.16681320997731,-3.13327728351684
1.43672246646591,453.475816723246,1.94591014905531,3.29604418745864,-3.54780701404101,-3.12336613663901
1.4091654337068,459.179476990819,0.693147180559945,3.13489021634195,-3.53066448986435,-3.10328683641156
1.43269072359558,452.208842275511,1.94591014905531,2.47983929690565,-4.13684509519475,-3.08998287837902
1.43867055749326,453.771560074944,1.94591014905531,2.20058071571163,-3.51225597833881,-3.07801102552413
1.66400500549558,492.572189560901,0.693147180559945,3.21382724818698,-4.62611665335539,-3.06236553026176
1.43007501152975,453.374037062993,1.38629436111989,3.3352405819243,-3.36910957389609,-3.05704199240353
1.50727744029402,464.596899271615,1.79175946922805,2.65369827830946,-6.12792674360934,-3.03781473799717
1.44047892788273,454.735375442434,1.79175946922805,2.54799147273677,-3.0946974717892,-3.02984840647424
1.44783794958873,454.777502333165,2.19722457733622,2.95062373091694,-3.14995526804222,-3.01285761738047
1.44589571393463,455.47781059017,2.30258509299405,3.46101294050606,-3.3145037604806,-2.99861350769989
