"","V1","V2"
"V/100307I_2_26",2.39958111463415,1.51115255783719
"V/100307I_2_7",2.9866710607819,0.948181073975541
"V/100383I_3_5",3.41315656586619,1.36878985398827
"V/100504I_20",3.3223226398813,1.24336815402743
"V/1006_11_C3_1601",3.45476967466385,1.05576293684031
"V/100890I_2_1",3.23513454255804,0.849810525890351
"V/100890I_2_4",3.52728643405576,1.00038762616616
"V/100997I_2_18",2.09255001738627,3.69493878986756
"V/100997I_2_2",3.11465612004673,3.739933373377
"V/1012_11_TC21_3257",2.19637497538961,2.77558356172647
"V/101421I_2_11",3.23418050937751,1.34701792191896
"V/101421I_2_23",3.18527650346186,1.16952806644168
"V/101984I_10",3.39558876481729,2.03046799249194
"V/101984I_21",3.99342359028051,1.59265495401064
"V/102_AT_SGA1",1.9722428848081,2.0622205527602
"V/102_BT_SGA3",2.89924435843444,4.46879980881593
"V/102149I_2_23",1.73924959843042,2.36618050407931
"V/102407I_2_1",1.08720590617003,2.01698266787387
"V/102605I_33",3.88759765151344,0.852505531616843
"V/1054_07_TC4_1499",4.31413147552869,1.20326105338423
"V/1056_10_TA11_1826",2.20567179848351,1.32784667104098
"V/1170887_08",1.92688039451587,4.41912808929966
"V/1394_C9G1",1.75585179789162,2.74329062155214
"V/16055_2_3",1.14323738468589,2.83887102336024
"V/16055_2_3_DELGLY3_197",1.49265234622557,4.15987275762109
"V/16055_2_3_DELGLY3_276",0.67883135056959,3.0232793752621
"V/16055_2_3_DELGLY3_463",1.30371709990376,3.57533310511493
"V/16055_2_3_DELGLY4",0.742291387440827,3.53541827032207
"V/16845_2_22",4.25540658204053,2.99166279735843
"V/16936_2_21",2.62964221784673,2.61133015333136
"V/186_AT_SGA1",3.87920189176648,2.15479841445611
"V/186_AT_SGA5",4.18144272786498,2.07675772840127
"V/186_BT_SGA1",2.38217482925242,4.18092700640232
"V/19707346_E8_C6",1.29122972179126,3.43188516103085
"V/20286961_C1_H8",1.86903891032906,2.99522287592032
"V/20883229_C9_H6",4.61480478187744,1.98836820261044
"V/20915593",0.617720149507224,3.98772734442008
"V/20927783",4.54707303642762,1.99577803671308
"V/20965238",3.01951261439262,3.96411964190919
"V/21197826_V1",5.62654962638613,2.52883878905221
"V/21283649",2.53405957510849,4.31965030933793
"V/21492713_B11_E3",4.07719966755525,2.67691689154826
"V/21502011_F12_E2",4.55310552416408,2.65890351711703
"V/21561324_D3_B5",1.64482358899135,3.26310199114023
"V/234_F1_16_57",0.898212178667839,3.74661944466134
"V/249M_B10",1.09463790231934,4.05004961212958
"V/25710_2_43",2.33634500187031,2.93407026668113
"V/25711_2_4",2.28125391773638,2.54291957665956
"V/25925_2_22",1.94766405332158,2.82588265211706
"V/26191_2_48",1.88360820038838,2.86318418799514
"V/288_38",2.38836973848436,2.69255819910092
"V/2969249",4.04896829223206,5.67414380097125
"V/304_F2_1_11",2.1071319453407,4.26360072229383
"V/3168_V4_C10",1.80095681066856,3.69353979384162
"V/318_TF_SGA2",2.75536129463528,2.60206435650051
"V/329_14_B1",2.35601255023604,1.97470310177407
"V/329_14_B4",2.98875371877998,1.71126579499434
"V/329_15_A1",3.97038244694407,3.12940485544672
"V/329_15_B1",4.14124770304463,1.83706945216936
"V/329_16_C1",4.11114160140656,1.97351124188925
