"","V1","V2","V3","V4","V5"
"V/A/Atlanta/3572/1988",4.19441042310257,2.81256530484292,3.73231318532511,3.42612563429069,2.59050903581236
"V/A/ChristChurch/2/1988",3.38954453501338,2.09643931640488,1.60007911863333,3.47434267375101,4.2500881809054
"V/A/England/427/1988",4.99010815765708,2.98851800099847,3.20920821067193,3.00294980617727,1.79253709143964
"V/A/Netherlands/450/1988",4.41792813593192,3.4826279812092,3.77630521044181,4.26241532602439,2.08108062760446
"V/A/Oklahoma/5/1988",5.28145674305007,4.98102069590193,3.01688323098698,2.32146473381257,4.32254201014885
"V/A/Stockholm/12/1988",4.49000996385361,3.20681109175247,3.82079330591397,4.14443446973654,2.23720237791916
"V/A/Victoria/1/1988",5.13065778421697,4.20810838786707,2.76794102754782,2.20321116337615,4.2324430021538
"S/A/Beijing/353/1989",3.95259154857015,6.03651307244985,4.12064699858598,5.0755009604576,3.92876672326067
"S/A/Guizhou/54/1989",4.6599946754817,2.50856028924208,4.10271073281478,5.36114517350545,1.31835844790279
"S/A/Netherlands/620/1989",3.81579120935195,3.46338889656836,3.79541067881372,5.00577328939815,2.8139575619899
"V/A/Atlanta/211/1989",4.41259878343654,3.97010524678091,3.25903378983225,4.3765142163352,3.35510221519163
"V/A/Beijing/352/1989",4.56260180936154,6.36778088473126,3.65055091597544,4.62909402681853,4.51164534592109
"V/A/Beijing/353/1989",3.59859210044982,7.12557039592623,2.16176621702245,4.23535767072065,2.94976094695943
"V/A/Eindhoven/3447/1989",4.39891133434366,2.67956994294478,4.04965194246903,4.27864883214461,2.17662332276649
"V/A/England/138/1989",4.65002531338944,3.06054091602483,3.91416865451226,4.19615895204745,2.61969730681307
"V/A/Geneva/5007/1989",4.22597835066047,2.68411150434303,3.6815437820215,4.24415555547195,2.26829623470239
"V/A/Guizhou/54/1989",6.4226487563104,4.65643079303246,3.79387283837282,1.38242603573273,3.58925130937337
"V/A/HongKong/1/1989",4.16052421725583,3.05509725058655,3.75131723516023,4.27657207493373,2.36834039109495
"V/A/Netherlands/620/1989",4.83438521752291,3.48679623706844,3.57032866116447,4.8920168485858,2.15350005627669
"V/A/Netherlands/650/1989",4.66093956009332,1.62626249499977,4.1830962147431,4.99230249496029,1.45330482341966
"V/A/Netherlands/738/1989",4.78547557984021,0.454278431429976,4.55140474796648,4.88137330962099,1.84897133487208
"V/A/Singapore/34/1989",3.86723839409215,1.67036270285983,3.92641346895307,5.4284272458329,2.76954189975512
"V/A/Singapore/35/1989",3.67591929408802,3.08889854498898,3.68386622623647,4.93781514792733,2.23251118346789
"V/A/Singapore/36/1989",5.14342223248,1.88965775654446,3.21606286968535,5.37286625254697,3.71107071841436
"V/A/Singapore/40/1989",5.11482628781106,3.77300807527268,3.24179532718929,4.99635500698284,3.25349766908342
"V/A/Singapore/53/1989",4.40725784385963,3.12233216243495,3.51211088092955,4.09400990283994,1.90885975582959
"V/A/Victoria/1/1989",5.90078976069691,-0.420924690534372,3.69098703378786,3.47786129521388,2.33766752682498
"V/A/Waikato/1/1989",4.16126704953748,2.36339667575384,3.85663935978783,4.90836874313107,2.39612616341041
"V/A/Wellington/5/1989",6.16255770078462,3.09259618261384,4.21852753593538,3.53838970039811,2.68773114419718
"S/A/HongKong/34/1990",4.03305595740514,3.48509172487617,4.41480067627278,4.54443236876866,7.78823477048249
"S/A/Victoria/2/1990",3.34321312234906,6.53759274987795,3.61195668945786,6.07205855653611,2.4734422830441
"V/A/Memphis/2/1990",4.63000023461998,2.66624875514997,3.94840203843412,4.41464709801625,2.13573330809355
"V/A/Memphis/5/1990",3.84860162914964,2.89976930909247,3.3837959649891,4.24072159436315,3.38916937920218
"V/A/Seoul/1/1990",4.22318205917983,2.79109399483294,3.65785779902159,4.07646660860248,2.36691274318794
"V/A/Shanghai/24/1990",3.71076776711332,2.63156058893952,4.70597822124171,4.45348075874711,6.187959920981
"V/A/Victoria/2/1990",4.16427936723181,6.0877328508887,3.0623215977715,5.1859561261034,3.56508115302854
"V/A/Wellington/3/1990",5.15782377370963,5.96592637299536,2.45106716606266,5.21573149923592,3.68971624114271
"S/A/Lyon/1149/1991",5.35682592948297,6.39309914295923,3.82088783807884,5.68211352574258,3.6726438523232
"V/A/Lyon/1149/1991",5.37960477191337,6.79629685844321,4.08278243933511,5.72174367582082,3.54591547368088
"V/A/Lyon/1182/1991",4.60413619215197,7.04454612545868,3.52164356189457,5.81992503983944,3.78735193701694
"V/A/Lyon/24222/1991",4.08145997902584,6.43197963401544,4.13315584193224,5.52877250328188,3.6335179047106
"V/A/Madrid/G12/1991",2.76172036290561,6.00828735487792,3.51859496108698,5.4358844599772,3.32777316880121
"V/A/Netherlands/816/1991",2.6755648770608,6.36728621782307,3.54691417728465,5.01692509346568,3.39865000952641
"V/A/Netherlands/891/1991",3.07420229381719,6.08856009126082,3.69018727487315,5.32351590269062,3.6229025884397
"V/A/Stockholm/20/1991",3.00004328148324,6.7978491655907,3.55883524898656,4.9419106952673,3.15024305340494
"S/A/Beijing/32/1992",5.74116607626806,5.60294087421678,6.23011174801531,5.30285297113972,7.56633173069135
"V/A/Beijing/32/1992",3.98674088950404,4.52777005638036,5.19659531336476,5.01103689428628,8.87681429164707
"V/A/Madrid/G58/1992",3.2144694736523,5.55820615646383,3.88137175834357,5.75749870713454,4.88588492299981
"V/A/Netherlands/823/1992",3.23450354809011,7.01850376691991,3.22247073435696,5.44000947162388,4.087593318485
"V/A/Netherlands/935/1992",3.5763699484556,5.82537826864348,3.71519893958914,5.39196635671028,3.40236301962614
"V/A/Netherlands/938/1992",4.84316893345277,3.2411001986964,5.06096246210756,4.43307949284678,6.30215089394465
"V/A/Nijmegen/3126/1992",2.91703396914086,6.75405223125759,3.76110062031762,5.88844533917707,3.64674460343586
"V/A/Nijmegen/3129/1992",2.79789605181581,6.16671515197058,3.64669818139173,5.21536704250599,3.77968922055751
"V/A/Oviedo/31/1992",3.28333122555902,5.46673037422381,3.58846111679287,5.07176040131854,3.30576876477775
"V/A/Paris/320/1992",3.38320914362762,6.41646670360484,3.25200306454117,5.66798871805597,3.39095780766951
"V/A/Paris/325/1992",3.07493755318139,6.780443191959,3.66507017430701,5.40973463468803,3.2225808243594
"V/A/Paris/407/1992",2.0305260393836,6.17398974733214,3.29622966585603,5.95132578276477,3.52350109358621
"V/A/Paris/424/1992",2.54466926800521,6.60105092092382,4.05878809247732,6.36580262425335,3.9618326612306
"V/A/Paris/457/1992",2.32844213097795,6.10387579509471,3.01213393379216,5.60891387186746,2.24700732176407
"V/A/Paris/467/1992",2.69335576872479,5.67746980996333,3.22709548458322,5.12091435486128,3.28128890333516
"V/A/Paris/490/1992",3.32158735574022,6.80258757176719,3.65933292648459,5.80588435177189,3.67203092209146
"V/A/Paris/512/1992",2.09381373001904,6.91362400048962,2.90427300666188,6.34007896642398,3.37578800032107
"V/A/Paris/548/1992",2.04898907370558,7.11535625937771,3.38311801977516,5.89922480618003,2.52949443929417
"V/A/Paris/564/1992",4.07370850938735,6.75156501217861,3.9090896159042,6.43690552976081,4.15587162035851
"V/A/Paris/583/1992",2.17984760043922,6.4244321621003,3.32825759065863,5.82916767094417,3.24696969664562
