"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"S/DENV3/FIJI/29472/1992",3.59477084772236,2.3474921008838,4.37942985794973,3.83692931233753,2.98340375751457,3.15183758684578,2.71462548180079,4.17898653616122,2.25119605319531,3.39015388735576
"V/DENV3/FIJI/29472/1992",3.38848461759321,2.56005153120891,4.05230380449372,2.45052009220857,3.08716326533818,3.51018252910276,2.3013358274712,4.16833216466422,3.17989460932658,4.32642608910175
"S/DENV2/PERU/IQT2913/1996",3.22645342432008,1.49669598633861,2.10261735934225,4.78394181453032,4.47837908939997,2.02696459708901,3.53396741490266,1.86325346902952,2.8333978091427,2.50938269738077
"V/DENV2/PERU/IQT2913/1996",3.47390389884725,2.48150981822151,2.23435224839963,2.27312013462253,3.03598424546261,3.66526729654368,3.23576565394628,2.32214643850662,2.87764515447964,2.83563081202621
"V/DENV4/PUERTO_RICO/347751/1998",3.11464932321602,2.77190475056095,2.78576052933211,2.49634393790882,3.4699603571501,4.15128601926225,1.09700280412762,2.6449321951848,3.92342167412421,3.13621278887287
"S/DENV4/NICARAGUA/703/1999",3.11948655908741,2.54349952612436,2.92254189380616,2.47713264990832,3.177296345348,3.56630382279217,1.41425665936479,2.36910713925769,3.5393481157998,3.18770042591073
"S/DENV4/PUERTO_RICO/BIDV2446/1999",2.61518782992514,1.91560041821172,2.76339814292671,1.90566086923026,2.29867503205597,1.74612447012179,1.37546252285931,2.53515285590363,2.80720810641562,3.44987290013518
"V/DENV4/NICARAGUA/703/1999",3.87523909414123,2.81539292542554,2.50451449998258,2.25697754166058,3.51273552287367,3.37540473815081,1.98157156044202,3.48871307444423,4.20091017506178,3.00222480653432
"V/DENV4/PUERTO_RICO/BIDV2446/1999",2.58416571499053,2.9930875056484,2.28227239391884,2.97283076255557,3.41929216491953,3.4117744458222,1.25490845066218,2.07641567711342,3.27701971706684,2.19213351212015
"S/DENV1/PERU/IQT6152/2000",5.06075604129961,3.87735608524467,2.83055041529192,2.9949141552813,0.781838417150239,1.97030581809029,4.39656764980134,2.89747570361814,3.48523511942805,1.3538271521816
"S/DENV1/VENEZUELA/OBT1298/2000",4.25105018144198,2.73485792447283,2.75315527599364,3.03081739388229,2.95899605838258,2.59967693826691,2.67438188269335,3.83901256546992,3.2100045188482,2.39705030987927
"V/DENV1/PERU/IQT6152/2000",4.84636406974425,2.38543807014867,2.88375176840928,3.0586165082408,2.29618600436471,2.34275239436937,2.79607249001417,4.0737043443027,2.96189010661473,2.42131338151576
"V/DENV1/VENEZUELA/OBT1298/2000",3.46289856346291,3.80743625259803,2.39592583324555,2.97512459642649,1.10328112721762,2.68871130995814,3.01138635684672,4.4011645745338,3.71265100403248,1.70013500970482
"V/DENV2/GUYANA/08221/2000",3.07574199545341,2.45537232535365,2.34745469182602,2.14336155576185,3.69073630358799,3.78113711650853,2.51006331954196,3.35082948288386,3.53423290120492,3.2925778196163
"S/DENV1/CAMBODIA/BIDV1991/2003",4.85979078214132,2.60575835902166,2.42778021081268,3.24708020695924,2.60417857580155,1.90114081106464,2.57870429527269,4.0240449188613,2.74708692866804,2.04908157612545
"S/DENV2/VIETNAM/AC20/2003",3.06394253341018,0.43031123478284,2.27087450474094,3.6763872067363,2.91845431210888,3.30787219176599,4.37049487321562,0.440423331388546,2.96229882914598,2.58474681536234
"S/DENV2/VIETNAM/AC21/2003",2.39863966560099,2.9125456938603,2.5997023154174,4.96053269209113,2.64402565396057,3.80653039883989,4.67195953940426,0.489797576643554,1.96012987942523,2.52035175679297
"V/DENV1/CAMBODIA/BIDV1991/2003",4.51204536744222,2.86084763493284,2.65457475786269,4.03080437341115,2.23770314315763,2.86302877548438,2.88443865894787,3.33803831161514,4.01690766594249,1.22736554844171
"V/DENV1/CAMBODIA/BIDV1995/2003",5.2879160290175,3.67731973492644,3.61970454968583,4.14752736557698,2.65854293870964,2.71428332392805,2.87098451033323,4.79634675258525,4.3689715625633,2.40999354732163
"V/DENV2/VIETNAM/AC20/2003",2.42048559926066,1.59605838059416,1.21914252912573,2.74477280147745,2.83490128682534,3.36391395502363,4.17258841724324,3.56820819411158,2.58685907151762,2.93614388104575
"V/DENV2/VIETNAM/AC21/2003",3.44288438382835,1.93777842667555,2.65014077561381,3.0779984539861,2.98125402222955,3.18001836788461,3.59839965864283,2.41420152507992,3.19157181448523,2.95905195029225
"V/DENV2/BRAZIL/BR161/2004",4.25308722212078,1.99669925615034,0.846481756068194,3.67764163658286,4.31195610138867,3.80834387177431,4.72422749428103,4.05292768753806,2.66281689172781,3.90345124926154
"S/DENV1/MYANMAR/61117/2005",5.74912635192841,2.76313693761463,2.38324365087635,3.85093045697612,2.36530865978161,1.47990958167603,2.38047384937858,4.2607324313095,3.02465114374334,0.8663444042886
"S/DENV2/NICARAGUA/BIDV533/2005",2.76207939805255,2.35223416511582,3.53119275523538,3.89271845408479,2.21985722371379,3.49583253285432,4.46517650723649,1.76349603765323,1.72517500793722,2.56082706645634
"V/DENV1/MYANMAR/61117/2005",4.90025999310109,2.94676748499414,2.62508526762046,3.36098220895191,2.56652053914454,2.22607707066071,2.68316317550135,4.12118525445506,3.25647227964597,1.78619147715773
