"type","name","","","",""
"antigen","A/Bilthoven/5930/1974","1.44374164564574","-2.23991486614921","-6.90089450165419","-4.6051050385397"
"antigen","A/Bilthoven/5931/1974","0.909407964828311","-3.21344560358988","-6.87728360253745","-2.23591916367108"
"antigen","A/Bilthoven/7398/1974","2.0598528988945","-1.82723724200525","-6.88273011359169","-3.40912573236109"
"antigen","A/Bilthoven/9459/1974","1.55793741923352","-2.04260280310531","-6.12788523798967","-4.56289617922487"
"antigen","A/Bilthoven/1843/1975","0.815568505022663","-2.0466667558481","-6.94963991589572","-3.94793823944607"
"antigen","A/Bilthoven/2600/1975","3.58994700872728","-1.33207579294166","-5.51453174291311","-4.55650868331"
"antigen","A/Bilthoven/2813/1975","1.22732619144684","-1.83441329650798","-6.95274485047239","-5.12836536056328"
"antigen","A/Bilthoven/334/1975","1.61600796097188","-2.01308103168586","-6.99594826681549","-1.96383081189868"
"antigen","A/Bilthoven/4273/1975","4.01969862033335","-1.08223510663167","-5.67705158653294","-4.35333462358957"
"antigen","A/Victoria/3/1975","0.490060987256229","-2.29038499045348","-3.99843402301781","-2.96477938512461"
"antigen","A/Bilthoven/1761/1976","1.11993993300126","-2.72043880803681","-2.39231043415644","-2.00047755721161"
"antigen","A/Bilthoven/2271/1976","-0.212676992360818","-0.827594198443404","-1.38375920322005","-4.09568292343249"
"antigen","A/Bilthoven/5029/1976","0.270270769757586","-3.15252755502181","-2.27638930981853","-1.45711333335159"
"antigen","A/Bilthoven/5168/1976","0.0242589194122287","-2.26276985594058","-4.49759556922275","-1.6561874129921"
"antigen","A/Bilthoven/5657/1976","0.695432974127982","-2.73297408120804","-2.22574113891341","-1.87948549807278"
"antigen","A/Bilthoven/6545/1976","0.71258189182943","-2.97899002856176","-2.1581774434291","-2.13248597505393"
"antigen","A/Amsterdam/1609/1977","0.40019239437782","-2.84989025059755","-3.10373099446122","-2.3526797294906"
"antigen","A/Bilthoven/3895/1977","0.813191592197654","-2.60460065685859","-2.21725460684573","-2.51981149785656"
"antigen","A/Rotterdam/5828/1977","1.88980077076959","-3.36641374805759","-2.64999064354663","-2.96265657919432"
"antigen","A/Rotterdam/8179/1977","1.01743780063212","-2.93589259245742","-2.50922241157647","-2.65358705076927"
"antigen","A/Texas/1/1977","-1.99338588299282","-2.62183862620112","-0.862364652092825","-4.04290020099341"
"antigen","A/Bangkok/1/1979","-2.95390875353736","-1.86696047789275","2.57478845483629","-4.72964868501651"
"antigen","A/Netherlands/209/1980","-1.93089271162067","-1.78753889517536","0.98407247534222","-3.67579547381073"
"antigen","A/Rotterdam/577/1980","-2.04759721162842","-1.86412941580031","0.926072694513693","-3.67090737436586"
"antigen","A/Bilthoven/4791/1981","-2.22995968782429","0.590816412156166","1.39766970983253","-3.6992013794513"
"antigen","A/Lyon/2380/1981","-2.58625241322568","0.255142089106917","1.15465626247068","-4.04785714764125"
"antigen","A/Auckland/4382/1982","-2.74558228147369","0.0614146244447001","0.955970524827411","-4.23955142810221"
"antigen","A/Bilthoven/10684/1982","-2.56614310501089","0.503952769806635","1.22548109778599","-4.10812678858697"
"antigen","A/Netherlands/241/1982","-2.16179724039976","-1.89535223876368","1.08979859279389","-3.27511236968559"
"antigen","A/Philipdarkgreens/2/1982","-2.47696944916261","-2.3379849003535","2.55644850918697","-4.10014696109536"
"antigen","A/Oslo/13676/1983","-2.73996231836929","0.270051386065452","1.2110999026606","-4.1166056193274"
"antigen","A/Caen/1/1984","0.0275158650390928","-0.871690767818522","2.45096831223769","-3.50112674954888"
"antigen","A/Guildford/V728/1985","-1.03365094039979","-0.733130659116095","2.72607889744594","-1.49692164932433"
"antigen","A/Netherlands/330/1985","-1.24751692529261","-1.46162842748826","1.73289206956063","-2.77355328303914"
"antigen","A/Netherlands/333/1985","0.0357085602409513","-0.0249585331527296","2.10761372650217","-3.28040009040346"
"antigen","A/Stockholm/10/1985","-1.25624775056897","-0.682805464669624","1.64473223842121","-2.28226057098381"
"antigen","A/Wellington/4/1985","-1.43914439251323","-0.321916201170726","2.40484690674064","-1.89916226951496"
"antigen","A/Colorado/2/1986","-1.58644539280015","-0.751105385552283","1.58222529226829","-1.99241096402326"
"antigen","A/Leningrad/360/1986","-1.61583472964491","-1.60320576869024","4.34222679841222","-2.5345299384329"
"antigen","A/Shanghai/11/1987","0.199615084101183","2.89949537421759","5.58569734375114","-1.29491365660866"
"antigen","A/Sichuan/2/1987","0.511545120408436","1.33025567751205","4.60124319541289","-2.04799786140289"
"antigen","A/Victoria/7/1987","-0.797040377604389","0.732085178048503","3.03785638364321","0.362389814947774"
"antigen","A/Atlanta/3572/1988","-0.268997000607506","1.96189677970326","2.69890937782729","-1.89469941725828"
"antigen","A/ChristChurch/2/1988","-1.65978092267575","-0.497404558025098","1.92795056245602","-0.769570418141571"
"antigen","A/England/427/1988","0.555307146867128","1.79249627125432","3.29857851085706","-1.94049643166792"
