"type","name","",""
"antigen","A/Netherlands/91/1996","-7.64167908655731","0.780605551564814"
"antigen","A/Singapore/1/1996","-5.89121631063461","5.0059682295136"
"antigen","A/Auckland/10/1997","-6.16732626666414","10.214568303938"
"antigen","A/HongKong/1/1997","-5.89884546913774","5.52527490520054"
"antigen","A/HongKong/280/1997","-6.11614914894508","6.43087995665942"
"antigen","A/Johannesburg/10/1997","-5.04542766029091","4.90412159198801"
"antigen","A/Netherlands/300/1997","-6.05766900160014","9.8719846846591"
"antigen","A/Nice/491/1997","-5.73752931004045","6.18605798710619"
"antigen","A/Oslo/21/1997","-5.86572813289281","4.86730147366624"
"antigen","A/Oslo/244/1997","-5.74278645167114","5.02416798314031"
"antigen","A/Sydney/5/1997","-6.21662804169996","10.6046746805549"
"antigen","A/Netherlands/414/1998","-6.52751595628777","8.73939301702386"
"antigen","A/Netherlands/427/1998","-5.70702143372934","10.4289043282669"
"antigen","A/Netherlands/462/1998","-6.64534772947134","9.23955969736917"
"antigen","A/Netherlands/5/1998","-6.67698385838821","4.47676786274112"
"antigen","A/Moscow/10/1999","-7.93408407556899","10.62365277048"
"antigen","A/Netherlands/301/1999","-6.04282758269048","9.79773980484294"
"antigen","A/Panama/2007/1999","-6.2472367135923","9.66019265947999"
"antigen","A/Netherlands/3/2000","-4.50274531821409","8.75911742012242"
"antigen","A/Netherlands/118/2001","-5.94997177557844","10.2912628635936"
"antigen","A/Netherlands/124/2001","-4.98281504352889","8.99495159183838"
"antigen","A/Netherlands/126/2001","-5.02290312239441","9.11955418780992"
"antigen","A/Fujian/411/2002","-2.13930109764571","11.97360578992"
"antigen","A/Netherlands/1/2002","-4.11128897565646","8.20359955825243"
"antigen","A/Finland/170/2003","-3.29032435687439","10.7553533447567"
"antigen","A/Netherlands/22/2003","-2.12384574705066","9.18175421623829"
"sera","A/HongKong/1/1968","11.171459407634","-9.17060979313617"
"sera","A/HongKong/107/1971","12.2279193649886","-12.8924548533749"
"sera","A/Bilthoven/21793/1972","8.31598494756562","-8.62316992050953"
"sera","A/England/42/1972","9.28123069804642","-7.5647996985999"
"sera","A/PortChalmers/1/1973","6.65420795850284","-8.00024130780429"
