name,V1,V2,V3,V4,antigen,antiserum,year,cluster,color
A/HongKong/3/1995,6.314917362,5.214245391,7.763761072,7.772536507,TRUE,FALSE,1995,BE92,pink
A/HongKong/32/1995,7.075412713,4.60231189,7.491402779,7.812286519,TRUE,FALSE,1995,BE92,pink
A/HongKong/357/1996,7.977479596,7.505892663,6.975454558,7.524771078,TRUE,FALSE,1996,WU95,darkgreen
A/HongKong/358/1996,7.596541628,8.438951413,5.738111505,8.282103701,TRUE,FALSE,1996,WU95,darkgreen
A/HongKong/38/1995,7.226809749,5.359516514,7.215574711,7.475612455,TRUE,FALSE,1995,BE92,pink
A/HongKong/42/1996,7.176467387,5.211516751,6.738896558,9.610459788,TRUE,FALSE,1996,BE92,pink
A/HongKong/434/1996,8.173040337,2.493058989,6.590498557,7.871207686,TRUE,FALSE,1996,BE92,pink
A/HongKong/49/1995,9.27701805,6.075440719,7.402343801,7.58661189,TRUE,FALSE,1995,WU95,darkgreen
A/HongKong/55/1994,7.776168994,5.252697164,7.712987792,7.3354011,TRUE,FALSE,1994,BE92,pink
A/HongKong/55/1995,7.016911679,7.262985903,7.571284936,6.930882414,TRUE,FALSE,1995,WU95,darkgreen
A/HongKong/56/1994,7.507140354,4.793830162,7.970136883,7.001042872,TRUE,FALSE,1994,BE92,pink
A/Johannesburg/10/1997,6.853697182,8.349175545,6.018797018,6.876244958,TRUE,FALSE,1997,WU95,darkgreen
A/Johannesburg/33/1994,8.015582088,3.499395293,9.289387783,7.942166575,FALSE,TRUE,1994,BE92,pink
A/Johannesburg/33/1994,7.467326879,3.496720433,7.131495293,10.05353196,TRUE,FALSE,1994,BE92,pink
A/Johannesburg/47/1994,6.474208022,2.984727919,6.374789815,7.871628754,TRUE,FALSE,1994,BE92,pink
A/Leningrad/360/1986,2.534623668,0.421503279,4.489995811,4.903420599,TRUE,FALSE,1986,BK79,green
A/Leningrad/360/1986,2.354390319,1.80593837,2.117514217,3.932448282,FALSE,TRUE,1986,BK79,green
A/Lyon/1149/1991,6.643991823,6.543204868,3.851394041,3.893113052,FALSE,TRUE,1991,BE89,red
A/Lyon/1149/1991,6.699252089,6.93239535,3.730459116,4.439806174,TRUE,FALSE,1991,BE89,red
A/Lyon/1182/1991,6.144322463,7.491765747,3.926607802,3.471822776,TRUE,FALSE,1991,BE89,red
A/Lyon/1781/1996,7.039530212,8.168874507,7.834867378,8.007069783,TRUE,FALSE,1996,WU95,darkgreen
A/Lyon/2279/1995,9.725773114,5.967959809,8.111549461,7.599036509,FALSE,TRUE,1995,WU95,darkgreen
A/Lyon/2279/1995,8.016630094,6.908950875,6.716321502,8.278627606,TRUE,FALSE,1995,WU95,darkgreen
A/Lyon/2380/1981,0.791042723,3.032715239,2.381599544,3.236285335,TRUE,FALSE,1981,BK79,green
A/Lyon/24222/1991,5.695899382,6.692891136,4.122992169,3.212493013,TRUE,FALSE,1991,BE89,red
A/Lyon/672/1993,5.184090063,5.120480873,6.961139767,8.904073464,TRUE,FALSE,1993,BE92,pink
A/Madrid/G102/1993,5.235840101,5.418451865,7.213685409,8.185750932,TRUE,FALSE,1993,BE92,pink
A/Madrid/G109/1993,6.91958833,4.334434518,7.328894263,6.990030838,TRUE,FALSE,1993,BE92,pink
A/Madrid/G12/1991,4.503228095,6.821251948,3.401964152,2.592946849,TRUE,FALSE,1991,BE89,red
A/Madrid/G122/1993,7.259509362,4.490883929,8.009808702,7.006290667,TRUE,FALSE,1993,BE92,pink
A/Madrid/G130/1993,3.935081156,4.549599244,6.428564865,7.927404214,TRUE,FALSE,1993,BE92,pink
A/Madrid/G252/1993,9.541991035,6.004512848,6.156192546,7.826137342,TRUE,FALSE,1993,WU95,darkgreen
A/Madrid/G252/1993,7.871783904,5.230699841,6.564029039,7.791189443,FALSE,TRUE,1993,WU95,darkgreen
A/Madrid/G58/1992,4.088613914,6.765359811,4.341936931,3.886702709,TRUE,FALSE,1992,BE89,red
A/Memphis/2/1990,5.602683377,3.380411958,1.717047789,3.434354757,TRUE,FALSE,1990,SI87,blue
A/Memphis/5/1990,4.109256997,3.858075825,2.601238398,3.977217711,TRUE,FALSE,1990,SI87,blue
A/Moscow/10/1999,11.71175289,9.191552495,9.958603442,9.835910498,TRUE,FALSE,1999,SY97,lightblue
A/Moscow/10/1999,9.651845086,10.37171949,9.882377106,10.81789277,FALSE,TRUE,1999,SY97,lightblue
A/Nanchang/933/1995,7.845494305,9.006300688,8.029950801,8.182367175,FALSE,TRUE,1995,WU95,darkgreen
A/Nanchang/933/1995,7.226241458,7.876460581,7.413189683,6.406584092,TRUE,FALSE,1995,WU95,darkgreen
A/Netherlands/1/1995,7.350855512,4.330417904,7.698830138,8.567641751,TRUE,FALSE,1995,BE92,pink
A/Netherlands/1/1995,6.819022895,4.017251336,8.777882079,8.767429931,FALSE,TRUE,1995,BE92,pink
A/Netherlands/1/2002,8.281728536,9.650642576,8.013852784,11.72517489,TRUE,FALSE,2002,SY97,lightblue
A/Netherlands/1/2002,9.702710456,9.53737845,9.375161981,10.56267558,FALSE,TRUE,2002,SY97,lightblue
A/Netherlands/101/1993,4.582267817,4.364028083,4.605471152,8.496243046,TRUE,FALSE,1993,BE92,pink
A/Netherlands/115/1993,4.633861324,4.473717429,5.62690079,8.447612583,TRUE,FALSE,1993,BE92,pink
A/Netherlands/118/2001,10.09947938,10.03028371,9.636188056,10.35656569,FALSE,TRUE,2001,SY97,lightblue
A/Netherlands/118/2001,10.08209908,10.37662316,9.896580908,10.74376932,TRUE,FALSE,2001,SY97,lightblue
A/Netherlands/124/2001,10.30554231,10.48996918,9.975238435,10.97613078,FALSE,TRUE,2001,SY97,lightblue
A/Netherlands/124/2001,9.030854911,9.972572091,8.731230648,11.11484342,TRUE,FALSE,2001,SY97,lightblue
A/Netherlands/126/1993,4.054232805,3.917647481,4.850242028,8.624377889,TRUE,FALSE,1993,BE92,pink
A/Netherlands/126/2001,9.972070584,9.716404481,9.823332238,10.40284605,FALSE,TRUE,2001,SY97,lightblue
A/Netherlands/126/2001,10.89452958,9.075133146,9.462188413,10.95712762,TRUE,FALSE,2001,SY97,lightblue
A/Netherlands/18/1994,10.33324637,6.528610075,7.336110716,7.236800993,FALSE,TRUE,1994,BE92,pink
A/Netherlands/18/1994,6.951840009,5.393979375,6.156568313,7.115937891,TRUE,FALSE,1994,BE92,pink
A/Netherlands/209/1980,0.606412354,1.416840158,2.163905945,3.863704925,TRUE,FALSE,1980,BK79,green
A/Netherlands/209/1980,-0.602357406,0.619959927,2.455592871,4.789028646,FALSE,TRUE,1980,BK79,green
A/Netherlands/22/2003,8.748741888,11.32545194,8.8266708,13.70362753,FALSE,TRUE,2003,FU02,orange
A/Netherlands/22/2003,7.930901531,10.69471719,7.802759409,13.37885515,TRUE,FALSE,2003,FU02,orange
A/Netherlands/241/1982,0.490535843,1.06898028,2.523183819,4.010205492,FALSE,TRUE,1982,BK79,green
A/Netherlands/241/1982,0.779681944,1.244232445,2.39159259,4.176744238,TRUE,FALSE,1982,BK79,green
A/Netherlands/241/1993,6.793916429,4.841632983,7.607387588,8.188650397,TRUE,FALSE,1993,BK79,green
A/Netherlands/271/1995,10.33936256,6.867298009,7.440037898,7.705454602,TRUE,FALSE,1995,WU95,darkgreen
A/Netherlands/3/1993,6.42530509,4.262309146,6.506438697,6.059914775,TRUE,FALSE,1993,BE92,pink
A/Netherlands/3/2000,7.922724874,11.22778847,8.242314375,10.89350695,TRUE,FALSE,2000,SY97,lightblue
A/Netherlands/300/1997,8.993222206,11.27466075,8.66321262,9.637860843,TRUE,FALSE,1997,SY97,lightblue
A/Netherlands/301/1999,10.05671299,9.833713073,10.19864108,10.28472935,TRUE,FALSE,1999,SY97,lightblue
