"","V1","V2"
"S/X5",-2.01697323895455,-1.6380290443424
"V/0013095_2_11",2.49902411353898,3.72295544977178
"V/001428_2_42",2.56609828157542,2.86728764015073
"V/0077_V1_C16",2.89725705567278,3.32494007039794
"V/00836_2_5",4.59852730689181,3.56548341131962
"V/036_BT_SGA4",2.97194622206279,1.9316506216305
"V/079_LN_SGA3",4.15097441266704,1.01284477910018
"V/079_LN_SGA9",3.08714440205049,1.44451613265472
"V/079_PBMC_SGA12",1.84517309244798,2.42667553760074
"V/079_PBMC_SGA17",4.18211094360967,1.78202778473458
"V/079_PBMC_SGA7",4.43807271320263,1.67092399500492
"V/0921_V2_C14",2.91832817985386,3.69313513390475
"V/093_AT_SGA1",1.67823496493093,2.45966149416428
"V/093_BT_SGA13",2.42028839153787,0.99953915711604
"V/093_BT_SGA3",1.44479361179721,2.35740003954832
"V/100002I_2_1",3.38044526045723,1.91848938946503
"V/100014I_2_20",2.30441960076932,0.999961876020639
"V/100046I_3_2",1.40821539832406,1.48325449542378
"V/100052I_2_15",1.60672771773904,0.56275904490972
"V/100155I_21",2.27913395513558,1.23290405429901
"V/100307I_2_26",2.08417376357297,1.3902181040396
"V/100307I_2_7",2.23488865470013,1.28246544592923
"V/100383I_3_5",3.10697220420721,0.997290870012043
"V/100504I_20",3.45382550760414,1.0332029040293
"V/1006_11_C3_1601",2.52018034128566,0.672760499380991
"V/100890I_2_1",3.01985989500449,1.05183053427848
"V/100890I_2_4",3.18019129911302,0.817217280785652
"V/100997I_2_18",3.09737608614129,-0.0129171531063938
"V/100997I_2_2",4.15069794356826,0.474011236453735
"V/1012_11_TC21_3257",1.99949549102653,2.40171583853364
"V/101421I_2_11",2.98645589637932,1.03872828136694
"V/101421I_2_23",2.89468409690915,1.05099796934613
"V/101984I_10",3.11928690472176,1.92884153944363
"V/101984I_21",3.88592868560785,1.7192352180463
"V/102_AT_SGA1",1.8420203665835,2.61410689657162
"V/102_BT_SGA3",4.76695011658261,2.3060775190145
"V/102149I_2_23",1.90360571672189,2.2454642566618
"V/102407I_2_1",1.66693118396244,0.600207143595091
"V/102605I_33",3.27868865958065,0.402383895711366
"V/1054_07_TC4_1499",3.90309277156783,1.50698506132591
"V/1056_10_TA11_1826",1.47210948174646,1.52999119246462
"V/1170887_08",2.87852144453796,3.8761945302009
"V/1394_C9G1",1.87854008411803,3.07260925040967
"V/16055_2_3",2.87638002283135,2.23435182599332
"V/16055_2_3_DELGLY3_197",2.87581441563054,3.53280159645113
"V/16055_2_3_DELGLY3_276",2.82767649794437,1.42109365603271
"V/16055_2_3_DELGLY3_463",3.13578999321025,2.61672150251863
"V/16055_2_3_DELGLY4",3.11278468361943,2.41504465598405
"V/16845_2_22",3.18574533261057,4.22657646042973
"V/16936_2_21",3.09859641992092,2.14596952914047
"V/186_AT_SGA1",3.42182910628443,2.52043137428039
"V/186_AT_SGA5",2.84659213106659,0.741286596624965
"V/186_BT_SGA1",4.45328969303577,2.25004784354198
"V/19707346_E8_C6",2.29658257232934,4.00656395135267
"V/20286961_C1_H8",2.09839427865229,3.10526762916568
"V/20883229_C9_H6",3.56626954618854,3.15105327437969
"V/20915593",2.0348249030725,4.45444601773524
"V/20927783",2.22584975946511,4.31300471830321
"V/20965238",4.34302430395816,2.67237617893468
"V/21197826_V1",5.50899714238938,3.47786331957723
"V/21283649",4.29594689131504,2.29309442216546
"V/21492713_B11_E3",3.94021885952916,1.75607441809639
"V/21502011_F12_E2",4.46120730856512,2.30380575992803
"V/21561324_D3_B5",1.91549252657693,3.67407395427179
"V/234_F1_16_57",1.61095653920589,3.90565274819115
"V/249M_B10",3.1525487181779,3.35589319492554
"V/25710_2_43",2.18668572640424,2.89657426692484
"V/25711_2_4",2.32489479258995,2.7218785213167
"V/25925_2_22",2.17779197349464,2.73494058037494
"V/26191_2_48",2.14570561976576,2.82908488065074
"V/288_38",2.43604248729112,2.40721231805243
"V/2969249",5.50221580353305,3.70284763964299
"V/304_F2_1_11",3.4819455653448,3.54531589461669
"V/3168_V4_C10",3.12179930413561,3.08494446101563
"V/318_TF_SGA2",2.41442366324708,2.11776714761155
"V/329_14_B1",1.585727413315,2.46562503978226
"V/329_14_B4",1.48963492225413,2.16170014411173
"V/329_15_A1",2.65623023496003,3.87518900041963
"V/329_15_B1",2.48631129113781,3.46170704812834
"V/329_16_C1",3.44625009414134,3.67959878026019
"V/329_16_D5",3.41938597069128,3.98271818398034
"V/330_14_A12",1.39305450032552,3.02572522720146
"V/330_14_A20",1.74926005775276,3.58952996951359
"V/330_15_C36",2.40519553079477,4.2318129826706
"V/330_15_D36",2.41334299841736,4.27087489533543
"V/330_15_E36",1.97196377205672,4.56254165601998
"V/330_16_A2",3.44844992580486,4.18456537824765
"V/330_16_D4",3.55202797660165,4.15469949006401
"V/330_16_E6",1.52722653877392,2.86497315093066
"V/330_16_H2",3.11093006185543,4.23149917314916
"V/3301_V1_C24",2.64139065220988,3.28328921379826
"V/346_F4_D2_12",2.75701516167199,1.05378768465612
"V/3637_V5_C3",5.48678072550471,4.46431415149812
"V/3873_V1_C24",3.12509563358355,3.08898235707564
"V/3988_25",1.57095708990379,1.88517139871109
"V/45_01DG5",1.67866545517901,1.94167440221426
"V/451_AT_SGA5",4.46966698307972,1.99242523734889
"V/451_TF_SGA2",2.24315589889171,2.52038722449902
"V/541_F1_A7_2",2.50662785887093,3.90644258634924
"V/556_F2_3_25",4.08836605140921,2.32217626152667
"V/569_F1_37_10",4.689307596668,2.48339694527789
"V/5768_4",1.43928559966504,1.40885439724088
"V/6022_V7_C24",3.19755740253468,3.51317401898546
"V/6146_V7_C23",1.91057971837198,3.99124721019194
"V/62357_14_D3_4589",3.99875342482601,1.66489357146965
"V/6240_08_TA5_4622",3.4094309352759,0.432393507854977
