"Holdout_MAE","NLL","log_N","log_k0","log_cooling_rate","log_c_repulsion"
1.40077102813937,367.46076999419,2.15273683521829,2.76501800439775,-4.10514216150967,-4.76103245086316
1.40553259627266,368.074990530906,1.96405039961724,2.71459658038106,-3.42295291052973,-4.20615104406008
1.44982966802225,373.69138001706,2.02613656507696,3.04159050115398,-4.09098421711154,-5.61845455935329
1.38218927991051,365.043670187334,1.83646521822119,2.86242167499161,-3.02646993399299,-3.71710935713873
1.42026862351776,369.962770245062,1.19442805745947,2.78711890172717,-4.93261939493138,-3.56532797235838
1.36860853846586,363.256454742533,2.08400736461261,2.7778018504621,-3.33869478214923,-4.17124034315961
1.42547628321349,370.625224181033,1.98346914366459,2.87054790153394,-4.1850720273966,-4.50025663021654
1.46905551034437,376.075802543784,1.83535813193968,3.48360297548572,-3.53439006437601,-3.7476905305708
1.42635616387104,370.736912652937,1.84415089176325,3.18832903845809,-3.17602677822358,-3.34516517994014
1.38398499912235,365.278670003118,1.86384483823863,3.20722875068986,-3.06342603038398,-4.63493720897596
1.38485450407414,365.392349688247,2.04004750105391,2.77103331832321,-3.85700375877018,-4.66419838146398
1.34938404055162,360.695967876229,1.11882548836118,2.72828542257534,-3.30242506808592,-3.60076519311487
1.384467665253,365.341782926562,1.87712547653167,2.6740600013342,-3.43220476551249,-3.88560562255679
1.36629594498356,362.950352995586,2.25887363190646,3.05719430676303,-3.13092818421543,-4.39100958291249
1.376709270704,364.324627458765,1.59027105476785,2.39883989367862,-4.27305962301172,-4.5130920099955
1.39054333303288,366.13435465042,2.11366160366364,2.85667148828722,-3.37618944379326,-4.26455922568771
1.47393595805284,376.676118144073,2.10348602643209,3.05680304072299,-4.48085577322028,-4.90635771035668
1.46966200428503,376.150512279764,1.333802295413,3.22597273199679,-3.64356979444877,-3.486726717609
1.37950855776237,364.692284272056,1.49511959981085,3.18219443847029,-3.10182943330904,-4.68068837316244
1.41263527063428,368.987346956915,1.98849354041986,2.94149029334386,-3.56970125438029,-5.58211760962076
1.34528635066721,360.145486865128,1.18357927296129,2.60634640572693,-3.75739240163166,-3.1944052214565
1.37500040613814,364.099818476345,2.07234017388859,2.83987727084291,-3.18974261188904,-5.58043487690776
1.38176522588989,364.988131083361,1.49543329439927,3.23648903550523,-3.17693000623117,-4.28968779679198
1.37870712316005,364.587100570791,1.80061988669901,2.77220421396298,-3.12464565917216,-4.03492874231096
1.3470827427621,360.387019141083,1.43639230327944,2.2707232949905,-3.78504651732835,-5.23285163983422
1.38139004853343,364.938979229636,2.01315253450653,2.88957065298145,-3.37272247519666,-4.02297496532243
1.40079912990275,367.464401114515,1.55688221471118,2.78310125547182,-3.41002879467581,-4.57301741436383
1.39813182731331,367.119425177477,1.48392224516982,2.6708467660677,-4.06915621722361,-3.21923778909468
